2026-07-14 19:46:45 [ERA5] ========================================================================
2026-07-14 19:46:45 [ERA5] Parallel raw WeatherBench2 ERA5 downloader
2026-07-14 19:46:45 [ERA5] Period: 1979–2022
2026-07-14 19:46:45 [ERA5] Workers: 64
2026-07-14 19:46:45 [ERA5] No decompression or recompression
2026-07-14 19:46:45 [ERA5] ========================================================================
2026-07-14 19:46:45 [ERA5] Opening remote metadata
2026-07-14 19:47:08 [ERA5] Selected time indices: 29,220..93,503
2026-07-14 19:47:08 [ERA5] Selected timestamps: 64,284
2026-07-14 19:47:08 [ERA5] Copying Zarr metadata and coordinates
2026-07-14 19:47:10 [ERA5] metadata 1/39: .zgroup | exists | 24.00 B
2026-07-14 19:47:10 [ERA5] metadata 2/39: .zattrs | exists | 2.00 B
2026-07-14 19:47:10 [ERA5] metadata 3/39: .zarray | exists | 320.00 B
2026-07-14 19:47:10 [ERA5] metadata 4/39: .zattrs | exists | 129.00 B
2026-07-14 19:47:10 [ERA5] metadata 5/39: 0 | exists | 3.25 KiB
2026-07-14 19:47:10 [ERA5] metadata 6/39: 1 | exists | 3.29 KiB
2026-07-14 19:47:10 [ERA5] metadata 7/39: 2 | exists | 3.00 KiB
2026-07-14 19:47:10 [ERA5] metadata 8/39: 3 | exists | 3.29 KiB
2026-07-14 19:47:10 [ERA5] metadata 9/39: .zarray | exists | 314.00 B
2026-07-14 19:47:10 [ERA5] metadata 10/39: .zattrs | exists | 52.00 B
2026-07-14 19:47:10 [ERA5] metadata 11/39: 0 | exists | 120.00 B
2026-07-14 19:47:10 [ERA5] metadata 12/39: .zarray | exists | 317.00 B
2026-07-14 19:47:10 [ERA5] metadata 13/39: .zattrs | exists | 56.00 B
2026-07-14 19:47:10 [ERA5] metadata 14/39: 0 | exists | 845.00 B
2026-07-14 19:47:10 [ERA5] metadata 15/39: .zarray | exists | 317.00 B
2026-07-14 19:47:10 [ERA5] metadata 16/39: .zattrs | exists | 55.00 B
2026-07-14 19:47:10 [ERA5] metadata 17/39: 0 | exists | 528.00 B
2026-07-14 19:47:10 [ERA5] metadata 18/39: .zarray | exists | 393.00 B
2026-07-14 19:47:10 [ERA5] metadata 19/39: .zattrs | exists | 229.00 B
2026-07-14 19:47:10 [ERA5] metadata 20/39: .zarray | exists | 393.00 B
2026-07-14 19:47:10 [ERA5] metadata 21/39: .zattrs | exists | 222.00 B
2026-07-14 19:47:10 [ERA5] metadata 22/39: .zarray | exists | 393.00 B
2026-07-14 19:47:10 [ERA5] metadata 23/39: .zattrs | exists | 238.00 B
2026-07-14 19:47:10 [ERA5] metadata 24/39: .zarray | exists | 393.00 B
2026-07-14 19:47:10 [ERA5] metadata 25/39: .zattrs | exists | 234.00 B
2026-07-14 19:47:10 [ERA5] metadata 26/39: .zarray | exists | 393.00 B
2026-07-14 19:47:10 [ERA5] metadata 27/39: .zattrs | exists | 235.00 B
2026-07-14 19:47:10 [ERA5] metadata 28/39: .zarray | exists | 369.00 B
2026-07-14 19:47:10 [ERA5] metadata 29/39: .zattrs | exists | 175.00 B
2026-07-14 19:47:10 [ERA5] metadata 30/39: .zarray | exists | 369.00 B
2026-07-14 19:47:10 [ERA5] metadata 31/39: .zattrs | exists | 187.00 B
2026-07-14 19:47:10 [ERA5] metadata 32/39: .zarray | exists | 369.00 B
2026-07-14 19:47:10 [ERA5] metadata 33/39: .zattrs | exists | 187.00 B
2026-07-14 19:47:10 [ERA5] metadata 34/39: .zarray | exists | 369.00 B
2026-07-14 19:47:10 [ERA5] metadata 35/39: .zattrs | exists | 235.00 B
2026-07-14 19:47:10 [ERA5] metadata 36/39: .zarray | exists | 369.00 B
2026-07-14 19:47:10 [ERA5] metadata 37/39: .zattrs | exists | 217.00 B
2026-07-14 19:47:10 [ERA5] metadata 38/39: .zarray | exists | 369.00 B
2026-07-14 19:47:10 [ERA5] metadata 39/39: .zattrs | exists | 174.00 B
2026-07-14 19:47:10 [ERA5] geopotential: source chunks 3652..11687 | objects=8,036
2026-07-14 19:47:11 [ERA5] temperature: source chunks 3652..11687 | objects=8,036
2026-07-14 19:47:11 [ERA5] specific_humidity: source chunks 3652..11687 | objects=8,036
2026-07-14 19:47:12 [ERA5] u_component_of_wind: source chunks 3652..11687 | objects=8,036
2026-07-14 19:47:12 [ERA5] v_component_of_wind: source chunks 3652..11687 | objects=8,036
2026-07-14 19:47:12 [ERA5] 2m_temperature: source chunks 3652..11687 | objects=8,036
2026-07-14 19:47:13 [ERA5] 10m_u_component_of_wind: source chunks 3652..11687 | objects=8,036
2026-07-14 19:47:13 [ERA5] 10m_v_component_of_wind: source chunks 3652..11687 | objects=8,036
2026-07-14 19:47:13 [ERA5] mean_sea_level_pressure: source chunks 3652..11687 | objects=8,036
2026-07-14 19:47:14 [ERA5] surface_pressure: source chunks 3652..11687 | objects=8,036
2026-07-14 19:47:14 [ERA5] total_precipitation_6hr: source chunks 3652..11687 | objects=8,036
2026-07-14 19:47:14 [ERA5] Starting raw-object copy with 64 workers
2026-07-14 19:47:14 [ERA5] Total ERA5 chunk objects: 88,396
2026-07-14 19:47:14 [ERA5] Destination: /home/tahiti/ConserveFM/data/ERA5_WeatherBench2_1979_2022
2026-07-14 19:47:14 [ERA5] progress=201/88,396 (0.23%) | new=0.00 B | skipped=201 | average=0.00 B/s | ETA≈0.0 h
2026-07-14 20:04:54 [ERA5] progress=28,720/88,396 (32.49%) | new=6.33 GiB | skipped=28,063 | average=6.12 MiB/s | ETA≈26.7 h
2026-07-14 20:05:25 [ERA5] progress=28,739/88,396 (32.51%) | new=6.52 GiB | skipped=28,063 | average=6.11 MiB/s | ETA≈26.7 h
2026-07-14 20:05:59 [ERA5] progress=28,760/88,396 (32.54%) | new=6.72 GiB | skipped=28,063 | average=6.11 MiB/s | ETA≈26.7 h
2026-07-14 20:06:37 [ERA5] progress=28,784/88,396 (32.56%) | new=6.95 GiB | skipped=28,063 | average=6.12 MiB/s | ETA≈26.7 h
2026-07-14 20:07:08 [ERA5] progress=28,807/88,396 (32.59%) | new=7.17 GiB | skipped=28,063 | average=6.15 MiB/s | ETA≈26.6 h
2026-07-14 20:07:38 [ERA5] progress=28,828/88,396 (32.61%) | new=7.37 GiB | skipped=28,063 | average=6.17 MiB/s | ETA≈26.5 h
2026-07-14 20:08:09 [ERA5] progress=28,849/88,396 (32.64%) | new=7.58 GiB | skipped=28,063 | average=6.18 MiB/s | ETA≈26.4 h
2026-07-14 20:08:40 [ERA5] progress=28,868/88,396 (32.66%) | new=7.76 GiB | skipped=28,063 | average=6.18 MiB/s | ETA≈26.4 h
2026-07-14 20:09:11 [ERA5] progress=28,887/88,396 (32.68%) | new=7.94 GiB | skipped=28,063 | average=6.18 MiB/s | ETA≈26.4 h
2026-07-14 20:09:42 [ERA5] progress=28,909/88,396 (32.70%) | new=8.15 GiB | skipped=28,063 | average=6.19 MiB/s | ETA≈26.3 h
2026-07-14 20:10:17 [ERA5] progress=28,930/88,396 (32.73%) | new=8.36 GiB | skipped=28,063 | average=6.19 MiB/s | ETA≈26.4 h
2026-07-14 20:10:49 [ERA5] progress=28,952/88,396 (32.75%) | new=8.57 GiB | skipped=28,063 | average=6.20 MiB/s | ETA≈26.3 h
2026-07-14 20:11:21 [ERA5] progress=28,972/88,396 (32.78%) | new=8.76 GiB | skipped=28,063 | average=6.20 MiB/s | ETA≈26.3 h
2026-07-14 20:11:52 [ERA5] progress=28,992/88,396 (32.80%) | new=8.95 GiB | skipped=28,063 | average=6.20 MiB/s | ETA≈26.3 h
2026-07-14 20:12:23 [ERA5] progress=29,012/88,396 (32.82%) | new=9.15 GiB | skipped=28,063 | average=6.21 MiB/s | ETA≈26.2 h
2026-07-14 20:12:54 [ERA5] progress=29,031/88,396 (32.84%) | new=9.33 GiB | skipped=28,063 | average=6.21 MiB/s | ETA≈26.2 h
2026-07-14 20:13:24 [ERA5] progress=29,049/88,396 (32.86%) | new=9.50 GiB | skipped=28,063 | average=6.20 MiB/s | ETA≈26.3 h
2026-07-14 20:13:56 [ERA5] progress=29,069/88,396 (32.88%) | new=9.70 GiB | skipped=28,063 | average=6.20 MiB/s | ETA≈26.2 h
2026-07-14 20:14:29 [ERA5] progress=29,090/88,396 (32.91%) | new=9.90 GiB | skipped=28,063 | average=6.20 MiB/s | ETA≈26.2 h
2026-07-14 20:15:00 [ERA5] progress=29,118/88,396 (32.94%) | new=10.17 GiB | skipped=28,063 | average=6.25 MiB/s | ETA≈26.0 h
2026-07-14 20:15:32 [ERA5] progress=29,137/88,396 (32.96%) | new=10.35 GiB | skipped=28,063 | average=6.24 MiB/s | ETA≈26.0 h
2026-07-14 20:16:05 [ERA5] progress=29,154/88,396 (32.98%) | new=10.52 GiB | skipped=28,063 | average=6.22 MiB/s | ETA≈26.1 h
2026-07-14 20:16:35 [ERA5] progress=29,173/88,396 (33.00%) | new=10.70 GiB | skipped=28,063 | average=6.22 MiB/s | ETA≈26.1 h
2026-07-14 20:17:06 [ERA5] progress=29,190/88,396 (33.02%) | new=10.86 GiB | skipped=28,063 | average=6.21 MiB/s | ETA≈26.1 h
2026-07-14 20:17:37 [ERA5] progress=29,209/88,396 (33.04%) | new=11.04 GiB | skipped=28,063 | average=6.20 MiB/s | ETA≈26.2 h
2026-07-14 20:18:08 [ERA5] progress=29,219/88,396 (33.05%) | new=11.14 GiB | skipped=28,063 | average=6.15 MiB/s | ETA≈26.4 h
2026-07-14 20:18:40 [ERA5] progress=29,236/88,396 (33.07%) | new=11.31 GiB | skipped=28,063 | average=6.14 MiB/s | ETA≈26.4 h
2026-07-14 20:19:10 [ERA5] progress=29,253/88,396 (33.09%) | new=11.47 GiB | skipped=28,063 | average=6.13 MiB/s | ETA≈26.5 h
2026-07-14 20:19:42 [ERA5] progress=29,271/88,396 (33.11%) | new=11.64 GiB | skipped=28,063 | average=6.12 MiB/s | ETA≈26.5 h
2026-07-14 20:20:12 [ERA5] progress=29,290/88,396 (33.13%) | new=11.83 GiB | skipped=28,063 | average=6.12 MiB/s | ETA≈26.5 h
2026-07-14 20:20:44 [ERA5] progress=29,306/88,396 (33.15%) | new=11.98 GiB | skipped=28,063 | average=6.10 MiB/s | ETA≈26.5 h
2026-07-14 20:21:16 [ERA5] progress=29,325/88,396 (33.17%) | new=12.16 GiB | skipped=28,063 | average=6.10 MiB/s | ETA≈26.5 h
2026-07-14 20:21:47 [ERA5] progress=29,344/88,396 (33.20%) | new=12.35 GiB | skipped=28,063 | average=6.10 MiB/s | ETA≈26.5 h
2026-07-14 20:22:18 [ERA5] progress=29,367/88,396 (33.22%) | new=12.57 GiB | skipped=28,063 | average=6.12 MiB/s | ETA≈26.5 h
2026-07-14 20:22:49 [ERA5] progress=29,388/88,396 (33.25%) | new=12.77 GiB | skipped=28,063 | average=6.12 MiB/s | ETA≈26.4 h
2026-07-14 20:23:19 [ERA5] progress=29,405/88,396 (33.27%) | new=12.93 GiB | skipped=28,063 | average=6.12 MiB/s | ETA≈26.4 h
2026-07-14 20:23:52 [ERA5] progress=29,424/88,396 (33.29%) | new=13.12 GiB | skipped=28,063 | average=6.11 MiB/s | ETA≈26.5 h
2026-07-14 20:24:24 [ERA5] progress=29,446/88,396 (33.31%) | new=13.33 GiB | skipped=28,063 | average=6.12 MiB/s | ETA≈26.4 h
2026-07-14 20:24:55 [ERA5] progress=29,465/88,396 (33.33%) | new=13.51 GiB | skipped=28,063 | average=6.12 MiB/s | ETA≈26.4 h
2026-07-14 20:25:26 [ERA5] progress=29,485/88,396 (33.36%) | new=13.71 GiB | skipped=28,063 | average=6.12 MiB/s | ETA≈26.4 h
2026-07-14 20:25:57 [ERA5] progress=29,505/88,396 (33.38%) | new=13.90 GiB | skipped=28,063 | average=6.13 MiB/s | ETA≈26.4 h
2026-07-14 20:26:28 [ERA5] progress=29,525/88,396 (33.40%) | new=14.09 GiB | skipped=28,063 | average=6.13 MiB/s | ETA≈26.3 h
2026-07-14 20:26:59 [ERA5] progress=29,548/88,396 (33.43%) | new=14.31 GiB | skipped=28,063 | average=6.14 MiB/s | ETA≈26.3 h
2026-07-14 20:27:32 [ERA5] progress=29,567/88,396 (33.45%) | new=14.50 GiB | skipped=28,063 | average=6.14 MiB/s | ETA≈26.3 h
2026-07-14 20:28:06 [ERA5] progress=29,588/88,396 (33.47%) | new=14.70 GiB | skipped=28,063 | average=6.14 MiB/s | ETA≈26.3 h
2026-07-14 20:28:36 [ERA5] progress=29,610/88,396 (33.50%) | new=14.91 GiB | skipped=28,063 | average=6.15 MiB/s | ETA≈26.2 h
2026-07-14 20:29:07 [ERA5] progress=29,630/88,396 (33.52%) | new=15.10 GiB | skipped=28,063 | average=6.15 MiB/s | ETA≈26.2 h
2026-07-14 20:29:38 [ERA5] progress=29,650/88,396 (33.54%) | new=15.30 GiB | skipped=28,063 | average=6.16 MiB/s | ETA≈26.2 h
2026-07-14 20:30:08 [ERA5] progress=29,670/88,396 (33.56%) | new=15.49 GiB | skipped=28,063 | average=6.16 MiB/s | ETA≈26.1 h
2026-07-14 20:30:40 [ERA5] progress=29,690/88,396 (33.59%) | new=15.68 GiB | skipped=28,063 | average=6.16 MiB/s | ETA≈26.1 h
2026-07-14 20:31:13 [ERA5] progress=29,711/88,396 (33.61%) | new=15.88 GiB | skipped=28,063 | average=6.16 MiB/s | ETA≈26.1 h
2026-07-14 20:31:43 [ERA5] progress=29,733/88,396 (33.64%) | new=16.10 GiB | skipped=28,063 | average=6.18 MiB/s | ETA≈26.0 h
2026-07-14 20:32:13 [ERA5] progress=29,754/88,396 (33.66%) | new=16.30 GiB | skipped=28,063 | average=6.18 MiB/s | ETA≈26.0 h
2026-07-14 20:32:46 [ERA5] progress=29,775/88,396 (33.68%) | new=16.50 GiB | skipped=28,063 | average=6.18 MiB/s | ETA≈26.0 h
2026-07-14 20:33:16 [ERA5] progress=29,793/88,396 (33.70%) | new=16.68 GiB | skipped=28,063 | average=6.18 MiB/s | ETA≈26.0 h
2026-07-14 20:33:49 [ERA5] progress=29,812/88,396 (33.73%) | new=16.86 GiB | skipped=28,063 | average=6.18 MiB/s | ETA≈26.0 h
2026-07-14 20:34:19 [ERA5] progress=29,832/88,396 (33.75%) | new=17.05 GiB | skipped=28,063 | average=6.18 MiB/s | ETA≈26.0 h
2026-07-14 20:34:49 [ERA5] progress=29,851/88,396 (33.77%) | new=17.23 GiB | skipped=28,063 | average=6.18 MiB/s | ETA≈26.0 h
2026-07-14 20:35:23 [ERA5] progress=29,875/88,396 (33.80%) | new=17.47 GiB | skipped=28,063 | average=6.19 MiB/s | ETA≈25.9 h
2026-07-14 20:35:54 [ERA5] progress=29,895/88,396 (33.82%) | new=17.66 GiB | skipped=28,063 | average=6.19 MiB/s | ETA≈25.9 h
2026-07-14 20:36:27 [ERA5] progress=29,914/88,396 (33.84%) | new=17.84 GiB | skipped=28,063 | average=6.19 MiB/s | ETA≈25.9 h
2026-07-14 20:36:58 [ERA5] progress=29,932/88,396 (33.86%) | new=18.01 GiB | skipped=28,063 | average=6.18 MiB/s | ETA≈25.9 h
2026-07-14 20:37:28 [ERA5] progress=29,953/88,396 (33.89%) | new=18.22 GiB | skipped=28,063 | average=6.19 MiB/s | ETA≈25.9 h
2026-07-14 20:37:59 [ERA5] progress=29,976/88,396 (33.91%) | new=18.44 GiB | skipped=28,063 | average=6.20 MiB/s | ETA≈25.8 h
2026-07-14 20:38:30 [ERA5] progress=29,993/88,396 (33.93%) | new=18.60 GiB | skipped=28,063 | average=6.19 MiB/s | ETA≈25.9 h
2026-07-14 20:39:00 [ERA5] progress=30,013/88,396 (33.95%) | new=18.80 GiB | skipped=28,063 | average=6.20 MiB/s | ETA≈25.8 h
2026-07-14 20:39:33 [ERA5] progress=30,034/88,396 (33.98%) | new=19.00 GiB | skipped=28,063 | average=6.20 MiB/s | ETA≈25.8 h
2026-07-14 20:40:03 [ERA5] progress=30,054/88,396 (34.00%) | new=19.19 GiB | skipped=28,063 | average=6.20 MiB/s | ETA≈25.8 h
2026-07-14 20:40:33 [ERA5] progress=30,074/88,396 (34.02%) | new=19.38 GiB | skipped=28,063 | average=6.20 MiB/s | ETA≈25.8 h
2026-07-14 20:41:04 [ERA5] progress=30,093/88,396 (34.04%) | new=19.57 GiB | skipped=28,063 | average=6.20 MiB/s | ETA≈25.8 h
2026-07-14 20:41:35 [ERA5] progress=30,111/88,396 (34.06%) | new=19.74 GiB | skipped=28,063 | average=6.20 MiB/s | ETA≈25.8 h
2026-07-14 20:42:07 [ERA5] progress=30,132/88,396 (34.09%) | new=19.94 GiB | skipped=28,063 | average=6.20 MiB/s | ETA≈25.8 h
2026-07-14 20:42:41 [ERA5] progress=30,154/88,396 (34.11%) | new=20.16 GiB | skipped=28,063 | average=6.20 MiB/s | ETA≈25.7 h
2026-07-14 20:43:11 [ERA5] progress=30,175/88,396 (34.14%) | new=20.36 GiB | skipped=28,063 | average=6.21 MiB/s | ETA≈25.7 h
2026-07-14 20:43:43 [ERA5] progress=30,195/88,396 (34.16%) | new=20.55 GiB | skipped=28,063 | average=6.21 MiB/s | ETA≈25.7 h
2026-07-14 20:44:17 [ERA5] progress=30,217/88,396 (34.18%) | new=20.76 GiB | skipped=28,063 | average=6.21 MiB/s | ETA≈25.7 h
